anime_id,score,watching_status,watched_episodes
32998,10,completed,
34777,10,completed,
25397,10,completed,
101,0,plan_to_watch,
31580,10,completed,
16201,0,plan_to_watch,
11111,0,plan_to_watch,
9919,10,completed,
33506,10,completed,
30205,10,completed,
7193,0,plan_to_watch,
2251,0,plan_to_watch,
67,0,plan_to_watch,
32086,10,completed,
269,10,completed,
41467,10,completed,
53998,10,completed,
56784,0,plan_to_watch,
31043,10,completed,
1689,10,completed,
26349,10,completed,
2025,0,watching,
1535,0,completed,
35928,10,completed,
36525,0,completed,
52701,0,watching,
6746,10,completed,
27833,10,completed,
23199,10,completed,
790,10,completed,
393,10,watching,
36245,0,plan_to_watch,
33743,9,completed,
37349,10,completed,
36028,0,plan_to_watch,
387,10,completed,
5835,10,completed,
49738,0,watching,
35557,0,plan_to_watch,
40046,10,completed,
11013,10,completed,
249,10,completed,
34542,10,completed,
40748,0,watching,
7054,10,completed,
16668,10,completed,
18295,10,completed,
21563,0,plan_to_watch,
14713,10,completed,
25681,10,completed,
5420,0,plan_to_watch,
2454,0,plan_to_watch,
38000,10,completed,
49926,0,plan_to_watch,
32281,10,completed,
36098,10,completed,
35079,0,plan_to_watch,
634,0,on_hold,
36548,0,completed,
250,9,watching,
5039,10,completed,
39017,0,plan_to_watch,
17265,0,on_hold,
23133,0,completed,
31741,0,completed,
18115,0,completed,
14513,10,completed,
52955,0,plan_to_watch,
38297,0,plan_to_watch,
14833,0,plan_to_watch,
41265,0,watching,
33487,0,dropped,
738,0,watching,
10620,10,completed,
21939,0,plan_to_watch,
877,0,plan_to_watch,
20,10,completed,
1735,10,completed,
32566,0,plan_to_watch,
1698,0,plan_to_watch,
20507,0,plan_to_watch,
31452,0,plan_to_watch,
21,10,dropped,
12355,0,on_hold,
23673,10,completed,
26243,0,plan_to_watch,
437,10,watching,
27775,10,completed,
527,10,completed,
1119,10,completed,
1120,10,completed,
2847,10,completed,
721,0,watching,
6114,0,on_hold,
957,0,plan_to_watch,
12477,10,watching,
32032,10,completed,
23273,0,completed,
3420,0,plan_to_watch,
2216,0,plan_to_watch,
7724,10,completed,
13125,0,dropped,
3588,10,completed,
9253,0,watching,
11757,10,completed,
21881,10,completed,
38826,10,completed,
200,0,plan_to_watch,
26,0,completed,
6211,0,plan_to_watch,
6,10,completed,
27,10,completed,
39518,10,completed,
19151,0,plan_to_watch,
32899,0,plan_to_watch,
51552,0,plan_to_watch,
37779,10,completed,
39617,4,dropped,
39710,10,completed,
50346,10,completed,
481,0,plan_to_watch,
40911,10,completed,
49733,0,completed,
43325,10,completed,
23283,10,completed,
